,firstName,lastName,player_id,team_id
1938,Manu,Ginobili,1938,1610612759
203497,Rudy,Gobert,203497,1610612762
2400,Drew,Gooden,2400,1610612764
203462,Archie,Goodwin,203462,1610612756
203932,Aaron,Gordon,203932,1610612753
201569,Eric,Gordon,201569,1610612740
101162,Marcin,Gortat,101162,1610612764
203924,Jerami,Grant,203924,1610612755
1626170,Jerian,Grant,1626170,1610612752
201980,Danny,Green,201980,1610612759
203110,Draymond,Green,203110,1610612744
203475,Erick,Green,203475,1610612762
101123,Gerald,Green,101123,1610612748
203210,JaMychal,Green,203210,1610612763
201145,Jeff,Green,201145,1610612746
201933,Blake,Griffin,201933,1610612746
203268,Jorge,Gutierrez,203268,1610612766
203798,PJ,Hairston,203798,1610612763
201946,Tyler,Hansbrough,201946,1610612766
203501,Tim,Hardaway Jr.,203501,1610612737
201935,James,Harden,201935,1610612745
203090,Maurice,Harkless,203090,1610612757
202712,Justin,Harper,202712,0
1626149,Montrezl,Harrell,1626149,1610612745
2734,Devin,Harris,2734,1610612742
203914,Gary,Harris,203914,1610612743
203925,Joe,Harris,203925,0
202699,Tobias,Harris,202699,1610612765
1626151,Aaron,Harrison,1626151,1610612766
2617,Udonis,Haslem,2617,1610612748
201150,Spencer,Hawes,201150,1610612766
101236,Charles,Hayes,101236,0
202330,Gordon,Hayward,202330,1610612762
201945,Gerald,Henderson,201945,1610612757
203089,John,Henson,203089,1610612749
1626209,Mario,Hezonja,1626209,1610612753
201579,Roy,Hibbert,201579,1610612747
201581,JJ,Hickson,201581,0
2403, ,Nene,2403,1610612764
201588,George,Hill,201588,1610612754
201941,Jordan,Hill,201941,1610612754
203524,Solomon,Hill,203524,1610612754
1626199,Darrun,Hilliard,1626199,1610612765
2550,Kirk,Hinrich,2550,1610612737
201950,Jrue,Holiday,201950,1610612740
203200,Justin,Holiday,203200,1610612741
200797,Ryan,Hollins,200797,0
1626178,Rondae,Hollis-Jefferson,1626178,1610612751
1626158,Richaun,Holmes,1626158,1610612755
203918,Rodney,Hood,203918,1610612762
